video,script,self-confidence,creativity,enthusiasm,future-orientation,trustworthiness,proactive-personality
1,"video1.mp4
 

 Speaker1: [00:00:01] Hamoodur Rahman. Mohammad Amin Taleqani. Hgtv connect with him over the weekend HGTV connect with him over the weekend.
 

 Speaker2: [00:00:28] We started Health Warrior after reading a best selling book, Born to Run and a best selling book, The Omnivore's Dilemma. And in Born to Run, we were inspired by the Tarahumara. We were inspired by the story of chia seeds and nutrient dense superfood, and we went from that to inventing the chia bar because most packaged food is junk food. It's been a wonderful adventure. But what's so great about this trip is we get to go back to where it all began. We're on the famous L-shaped train. We're going to visit the Tarahumara. The Tarahumara are a tribe that really lived remotely, almost lost in the Copper Canyons of Mexico. You may know them as the world's most famous ultramarathoners. They run 25, 50, 100 miles a day, largely without shoes on. They also happen to live very close to the land. So it's really one of the most untouched cultures in the world. But they also have some modern challenges that they're facing, particularly due to climate change and drought.
 

 Speaker3: [00:01:22] These drastic changes in the environment have caused unfortunate hardships for the locals.
 

 Speaker4: [00:01:27] And todo o algunos y algunos. Tenian para poder comprar mas y frijol bueno cuando cuando hay mucho hombre y muchos salieron a buscar el trabajo.
 

 Speaker3: [00:01:44] This year, we were able to help Silvino and his friend Mikhail get the chia harvest back to its former glory. With their hard work on the crop, they were able to feed 12 families from the village. Mickey, an honorary Tarahumara has been living with the tribe for decades and has been a valuable resource with this important first crop.
 

 Speaker5: [00:02:05] Through the support of Health Warrior, we have been able to offer jobs to people in an area where there are absolutely no jobs. So this is offering a really unique opportunity and a very much needed one. And that's why I think this has been and could continue to be a very good project that would make a significant difference in an entire culture.
 

 Speaker3: [00:02:30] Now, Health Warrior is giving back by investing in the Tarahumaras first commercial chia harvest, reintroducing a seed that had disappeared from their diet, and creating an economic lifeline for the tribe. The product is a new Mexican chocolate chia bar, with sales benefiting the Tarahumara and the work of Operation Farm and Run. Please join us in supporting the Tarahumara by backing this Kickstarter.",81.09,10,5,0.66,7,9
2,"video2.mp4
 

 Speaker1: [00:00:01] Mommy, is it Christmas yet?
 

 Speaker2: [00:00:12] Do you remember this excitement? I remember when I was a child. I ran that into the kitchen and opened a new window in my advent calendar each morning and ate the chocolate. But as I grew up eating, the same low quality milk chocolates just got very boring. I looked around and asked, why isn't there an advent calendar with just better quality chocolates? I couldn't find one so I decided to make my own. I filled my advent calendar with all the different Kraft chocolates I gathered throughout the year. I posted them on social media and everyone really liked the idea. So I wanted to share this experience with as many people as possible. This year, I decided to create the very first mixed Kraft Chocolate Advent Calendar, showcasing 24 different makers from around the world with their 24 different chocolates made in a small batch, ethical and sustainable way. This calendar will bring you joy each day by letting you discover the wonderful diversity of chocolate flavors through various cacao origins. Do you want to join me in this exciting journey? Please support my Kickstarter campaign to help me realize this special advent calendar. Share it with friends and family, and make a pledge to receive one of the 200 limited edition advent calendars and other fun rewards, such as tasting packs and even group tasting sessions. You can find more information about the project below. Thank you for watching.
 

 [00:01:40] And have a chocolatey day!",26.45,6,2,0.36,6,10
3,"video3.mp4
 

 Speaker1: [00:00:00] Hi, I'm Robin Dochterman. I'm a chocolatier who opened my own chocolate shop about two years ago. The shop is in a little village of Marine on Saint Croix, Minnesota, and it's about 45 minutes northeast of the Twin Cities. We make all our own chocolates here. We make them from scratch, and we're big believers in sourcing our ingredients locally. So we use organic cream and butter. That's from a family farm and dairy that's about ten miles away. We also use local honey and maple syrup and fruits in season. So a while back I was doing a little market research. Okay, I was eating one of those really thin, trendy chocolate bars, and I had an idea. I thought, why not use a chocolate bar as a canvas for art? So I talked to Laura McCall. Laura is a clay tile artist and I love her work. I have some of it hanging in my own house, and I asked Laura if she would carve us a couple of tiles that we could then turn into chocolate bar bowls. So I think a really special mold like this deserves to be filled with a stellar chocolate. Fortunately, there's a craft chocolate company out of San Francisco that makes wonderful organic chocolate. They actually work with cacao farmers in Peru to make better tasting beans so the farmers win. The chocolate is fabulous and that's what I've chosen to fill the the bar molds with. Finally, I wanted to package these chocolate bars in a way that when you were done eating the chocolate, when you were done enjoying it, you wouldn't just crumple up the paper and toss it in the trash. I wanted to be able to put it in a box that you could keep, that you could put other things in.
 

 Speaker1: [00:01:45] Also, there weren't any off the shelf boxes that would fit the way the chocolate is dimensional. So unlike flat bars where you can just put it in a little cardboard sleeve, these actually have some dimension. So we did the creative thing and we made a box. Artisans in the Philippines then hand make these boxes from the design. And the result is a really handsome keepsake box. So not only will you not crumple it up and toss it in the trash when you're done enjoying the chocolate, but it's the kind of thing you would want to put jewelry in or ticket stubs from the last concerts you've been to, and you'd probably feel good about regifting it to one final partner. We need to be able to get these special bars out into the world is you. It might be a really good project for you if you like chocolate, art, nature, birds, farmers, small business, local global collaborations, good food. I mentioned chocolate. We plan to use the help of our backers to actually get our first box order underway, and then get them delivered to us so we can fill them with sensual, delicious, happy making chocolate and get them on their way to fans, the press, and the world. We really appreciate your help and we're offering some sweet, decadent rewards. I bet by now you've figured out it's chocolate. We hope to get the boxes by Earth Day, so this is a pretty short campaign, so we'd be especially appreciative if you would be willing to help spread the word to the chocolate loving community by sharing this video, this campaign, with your friends as well. Thank you very much.",89.26,10,24,0.65,8,10
4,"video4.mp4
 

 Speaker1: [00:00:01] Hamoodur Rahman. To Muhammad Ali Jinnah. Hgtv connect with him over the weekend HGTV connect with him over the weekend.
 

 Speaker2: [00:00:28] We started Health Warrior after reading a best selling book, Born to Run, and a best selling book, The Omnivore's Dilemma. And in Born to Run, we were inspired by the Tarahumara. We were inspired by the story of chia seeds and nutrient dense superfood, and we went from that to inventing the chia bar because most packaged food is junk food. It's been a wonderful adventure. But what's so great about this trip is we get to go back to where it all began. We're on the famous L-shaped train. We're going to visit the Tarahumara. The Tarahumara are a tribe that really lived remotely, almost lost in the Copper Canyons of Mexico. You may know them as the world's most famous ultramarathoners. They run 25, 50, 100 miles a day, largely without shoes on. They also happen to live very close to the land. So it's really one of the most untouched cultures in the world. But they also have some modern challenges that they're facing, particularly due to climate change and drought.
 

 Speaker3: [00:01:22] These drastic changes in the environment have caused unfortunate hardships for the locals.
 

 Speaker4: [00:01:27] And todo o algunos y algunos. Tenian para poder comprar mas y frijol bueno cuando cuando hay mucho hombre y mucho salieron a buscar el trabajo.
 

 Speaker3: [00:01:44] This year we were able to help Silvino and his friend Mikhail get the chia harvest back to its former glory. With their hard work on the crop, they were able to feed 12 families from the village. Mickey, an honorary Tarahumara has been living with the tribe for decades and has been a valuable resource with this important first crop.
 

 Speaker5: [00:02:05] Through the support of Health Warrior, we have been able to offer jobs to people in an area where there are absolutely no jobs. So this is offering a really unique opportunity and a very much needed one. And that's why I think this has been and could continue to be a very good project that would make a significant difference in an entire culture.
 

 Speaker3: [00:02:30] Now, Health Warrior is giving back by investing in the Tarahumaras first commercial chia harvest, reintroducing a seed that had disappeared from their diet, and creating an economic lifeline for the tribe. The product is a new Mexican chocolate chia bar, with sales benefiting the Tarahumara and the work of Operation Farm and Run. Please join us in supporting the Tarahumara by backing this Kickstarter.",80.44,9,9,0.67,10,10
5,"video5.mp4
 

 Speaker1: [00:00:08] I am a professional pastry chef. I work full time at a restaurant and then in my spare time, I own my own business. I make hand-painted artisan chocolates, cupcakes, wedding cakes, specialty cakes, really anything anybody can imagine, I can, I can create for them. This is my home office, if you will. Right now, what I need is just a commercial kitchen to work from. I'm very limited. I can't sell to retail. I would love to grow and in order to grow, I need to have a commercial kitchen that I can sell from. Right now I have a very small tempering machine. It only allows me to do about 2 or 3 molds at a time, which you know, is anywhere from 50 to 60 pieces given. And I would love to get a professional tempering machine that instead of a £2 batch, I can do a 10 to £12 batch of chocolates, which would drastically cut down my time and allow me to do much more production a lot faster. My Mario and Luigi cake is one of my favorites I've ever made. Within two days you need to bake, cool, cut, fill, frost and then decorate. So it's a long process, but it has to be done in a short amount of time. The Mario cake probably took me four hours, four and a half, five hours. If I do or do not get this money. I'm still going to keep working as hard as I have been, and even harder to get to my ultimate goal. I love what I do. I can do this. I want everyone who buys my chocolates to have the same experience of joy that I have when I create them. Simply be who you are. I am a chocolatier.
 

 [00:01:47] I want candy. I want candy. I want candy. I want candy. Hey hey hey hey hey.",2.95,6,1,1.76,8,9
6,"video6.mp4
 

 Speaker1: [00:00:07] I am a fully fledged, you know, commercial kitchen in my basement. It's well under 200ft². Like, I'll talk to people sometimes, like. Yeah. You know, like our our factory is only 1500ft². Like, I just don't know how we do it. I'm like, oh, my gosh, 1500 square feet. I could how much chocolate could I make in 1500 square feet? Several years ago, my older brother had gone to this really cool chocolate snobbery 101 course in Salt Lake City, and I'm like, I'll try it. But I have a terrible palate and I don't like dark chocolate, but I'll try it. You know, obviously I was horribly mistaken. I just fell in love with it, started doing tastings for friends, and one of them was like, hey, we should try making this stuff. To which I essentially thought, that's the craziest thing I've ever heard. Which is totally true. I mean, it's totally the craziest thing I've ever heard, but here I am. Actually, we started right here in this kitchen. So you can actually make some really decent chocolate with very little added equipment. You can roast the cocoa beans in your home oven. You can crack them with a rolling pin. You can put the cracked beans in a bowl and get like a hair dryer or a fan, and kind of just blow all the husks away. We didn't know what we were doing. I mean, but at the time we tried it and we're like, this isn't bad. Like, this is, you know, for our first batch. Holy crap. You know, in fact, that first bar was well, it was a finalist in that year's Good Food Awards, which was kind of this insane moment because I'm like, all right. So a year ago, I had, like, not even really tasted chocolate. And now, you know, I won this award.
 

 Speaker2: [00:01:38] So we decided to move everything to the basement from the kitchen.
 

 Speaker1: [00:01:41] Very, very quickly because, well, the kitchens, the kitchen, and you've got this machine running for, you know, 24 hours a day, 3 to 4 days a week, you know, is the wife doesn't allow that for too long. I'm all across the country. I've got a pretty decent base here in the DC area. And the first batch we made probably 2 or £3 worth of chocolate which, you know, if you're making a two ounce bar, that's like eight bars a pound. My current roaster can roast £12, maybe £15 if I push it at a time. And so I'm building a new roaster that will easily be able to do like the £50 or whatever that I need for for one batch. I've gone through a lot of jobs. I mean, I sold cars for a little while, which did not go well. I used to wash carpets, I used to roof, and then I stumbled into a computer job. And actually, that's still what I do is my day job is Linux systems administration as my day job. Finding the balance, you know, certainly with the day job and and the and the chocolate is pretty tough. I've got a wife, I've got four kids, I've got a mortgage and car payments and all that crap, you know. So I mean, nothing gives a crap. And there's a lot of times that I'll have to say, well, I was going to do this chocolate, but I, you know, my daughter has a viola concert, you know, so I'm going to do that at this point, other than storage, like, there's not there's not a huge rush to move out. And so once, once I move out of the basement, then there's a lot more overhead and that kind of thing. And so like, I don't know that I'd say that I'm going to hold on to the basement as long as I can, but I'm going to hold on to it for a little while.",25.97,10,14,2.17,10,10
7,"video7.mp4
 

 Speaker1: [00:00:07] I am a fully fledged, you know, commercial kitchen in my basement. It's well under 200ft². Like, I'll talk to people sometimes, like. Yeah. You know, like our our factory is only 1500ft². Like, I just don't know how we do it. I'm like, oh, my gosh, 1500 square feet. I could how much chocolate could I make in 1500ft²? Several years ago, my older brother had gone to this really cool chocolate snobbery 101 course in Salt Lake City, and I'm like, I'll try it. But I have a terrible palate and I don't like dark chocolate, but I'll try it. You know, obviously I was horribly mistaken. I just fell in love with it, started doing tastings for friends, and one of them was like, hey, we should try making this stuff. To which I essentially thought, that's the craziest thing I've ever heard. Which is totally true. I mean, it's totally the craziest thing I've ever heard, but here I am. Actually, we started right here in this kitchen. So you can actually make some really decent chocolate with very little added equipment. You can roast the cocoa beans in your home oven. You can crack them with a rolling pin. You can put the cracked beans in a bowl and get like a hair dryer or a fan, and kind of just blow all the husks away. We didn't know what we were doing. I mean, but at the time we tried it and we're like, this isn't bad. Like, this is, you know, for our first batch. Holy crap. You know, in fact, that first bar was well, it was a finalist in that year's Good Food Awards, which was kind of this insane moment because I'm like, all right. So a year ago, I had, like, not even really tasted chocolate. And now, you know, I won this award.
 

 Speaker2: [00:01:38] So we decided to move everything to the basement from the kitchen.
 

 Speaker1: [00:01:41] Very, very quickly because, well, the kitchens, the kitchen, and you've got this machine running for, you know, 24 hours a day, 3 to 4 days a week, you know, is the wife doesn't allow that for too long. I'm all across the country. I've got a pretty decent base here in the DC area. And the first batch we made probably 2 or £3 worth of chocolate which, you know, if you're making a two ounce bar, that's like eight bars a pound. My current roaster can roast £12, maybe £15 if I push it at a time. And so I'm building a new roaster that will easily be able to do like the £50 or whatever that I need for for one batch. I've gone through a lot of jobs. I mean, I sold cars for a little while, which did not go well. I used to wash carpets, I used to roof, and then I stumbled into a computer job. And actually and that's still what I do, is my day job is Linux systems administration as my day job. Finding the balance, you know, certainly with the day job and and the and the chocolate is pretty tough. I've got a wife, I've got four kids, I've got a mortgage and car payments and all that crap, you know? So I mean, nothing gets a crowd and there's a lot of times that I'll have to say, well, I was going to do this chocolate, but I, you know, my daughter has a viola concert, you know, so I'm going to do that at this point, other than storage, like there's not there's not a huge rush to move out. And so once, once I move out of the basement, then there's a lot more overhead and that kind of thing. And so, like, I don't know that I'd say that I'm going to hold on to the basement as long as I can, but I'm going to hold on to it for a little while.",27.44,10,7,2.17,8,10
8,"video8.mp4
 

 Speaker1: [00:00:10] This isn't any old health bar. This is an all natural, all organic grub bar made from cricket flour. We're a start up company called grub. We've been busy hosting pop up events and creating products such as our Cricket nut fudge. Our mission is to convince the UK public that insects are good food in every way.
 

 Speaker2: [00:00:29] Our bar is a gluten and nut free recipe. We've selected eight ingredients which all work in harmony to make our bar something special. All of these are really high in fibre, high in protein, give you lots of energy and taste great. Lastly, our secret ingredient cricket flour. This is 63% protein and in fact has more protein than a steak. And it tastes great.
 

 Speaker1: [00:00:50] They've eaten all over the world. They pack a serious nutritional punch, but most importantly, they taste pretty damn good. But don't take our word for it. Here's what some totally random people had to say about our grub bar.
 

 Speaker3: [00:01:03] Give us your initial reaction. Taste. Flavours.
 

 Speaker4: [00:01:05] Pretty tasty. Okay. Nice chocolate. Pretty orangey. Good.
 

 Speaker5: [00:01:11] Some sort of nuts in there?
 

 Speaker3: [00:01:13] That's right. Yeah.
 

 Speaker5: [00:01:14] Oh. That's lovely. It feels quite Substantial.
 

 Speaker6: [00:01:19] It's a lot of nice flavors.
 

 Speaker4: [00:01:21] It tastes like coconut. It's not very strong.
 

 Speaker5: [00:01:23] It actually feels like a treat.
 

 Speaker6: [00:01:25] It's nice that it's got the chocolate with it as well.
 

 Speaker4: [00:01:28] Nice and chewy. It's not too heavy.
 

 Speaker7: [00:01:30] It tastes like a normal chocolate bar.
 

 Speaker4: [00:01:31] A nice texture. It looks very healthy.
 

 Speaker3: [00:01:34] Okay.
 

 Speaker5: [00:01:34] Are you going to tell me what it is or not? Insects don't like cricket flour. I wouldn't have guessed that. I didn't expect that. It's nice though. I think it's just a psychological barrier you have with the word cricket. No, it's really good, actually. I'm not really sure whether I'm freaked out by that.
 

 Speaker6: [00:01:57] That's really unexpected.
 

 Speaker3: [00:02:00] Would you buy them again? I would.
 

 Speaker6: [00:02:01] Yeah. I think I'm actually okay with that. Do you like the taste?
 

 Speaker3: [00:02:06] Do you want to take some with you? Would you buy it again? Yeah.
 

 Speaker5: [00:02:10] I'm going to finish this right now. Sounds great. I can't wait to see you guys launch it.
 

 Speaker1: [00:02:16] The proof is in the pudding. Crickets are high in protein, calcium and iron. All the essentials of making the perfect health food bar. It's an idea with six legs, but all we need now is some helping hands during the insect eating revolution. Be a grub bar backer.",59.12,10,18,0.92,7,10
9,"video9.mp4
 

 Speaker1: [00:00:02] Hi Kickstarter, thanks for checking out my project. I'm Dave and I'm here to share with you something that I think is pretty sweet. About two years ago I needed some room for my other business, so I rented a retail space where I live in downtown Hillsboro, Oregon. I built a kitchen in the back and in the front. I decided to open up a chocolate shop and follow one of my passions through a lot of trial and error, customer feedback, and a lot of fun, we're going to focus on what I know we're doing really well and really uniquely. I've now been creating over 200 unique and delicious chocolate bars using some of the highest quality dried fruits, roasted and candied nuts, and amazing candy combinations to make really fun, delicious and unique flavors. Some examples are all the dried fruits and nuts you could think of, classic bars of turtles and s'mores and gummy bears. Some of the more unique stuff like peanut butter and jelly, popping cotton candy bars, matcha green tea, coconut curry, ghost pepper, Aztec bars, and a lot, lot more. We have a lot of dairy free, gluten free, as well as vegan friendly options. I'm here for your support in launching the business online.
 

 Speaker1: [00:01:07] We need to order large quantities of this customized gift box that you're going to be able to have in a beautiful design. You can look below in the descriptions and see what it'll actually look like. You're going to be able to go online and order a four, eight, or 12 piece gift box customized for whatever your personal flavor is, or choose for some of the best sellers or more popular stuff that I've already selected. We also need to order larger chocolate tempering machines, as well as freezers and shipping equipment, so we can ship these in temperature controlled boxes nationwide year round. My goal is to provide amazing flavors of ethically sourced killer chocolate bars at a fair price in a fun, customizable gift box. We're also going to be donating a percentage of all of our profits to organizations that focus on sustainability, as well as a fair wage for all the cocoa farmers around the world. We're going to be taking feedback from all of our backers on seasonal, fun flavors for our stretch rewards. Let's do something really sweet together. Back to project. Leave a comment or ask a question or share on social media. Thanks so much for watching and have a great day!",59.99,8,15,2.46,8,10
10,"video10.mp4
 

 Speaker1: [00:00:00] Hi, I'm Carl with Intrigue Chocolate Company in Pioneer Square, downtown Seattle. Injury chocolate is a small artisan chocolate shop making a dark chocolate ganache of many different flavors that feature ingredients such as Szechuan pepper, pink peppercorn, rose petal, basil, cinnamon, nutmeg, etc.. This, in fact, is Aaron's toolbox. Aaron, give a wave. That's Aaron, the chocolatier. Injury chocolates has been around for about six years, and since that time we've found solutions to packaging the chocolate that were affordable for a small business. But that means using standardized packaging that isn't always, to everyone, the best impression that they want to give. When giving a gift of chocolate, we were faced with a challenge of creating a new logo and a new packaging look that communicated visually what you were going to taste inside of the box. So let me give you a little look at some of the designs that our two fantastic designers came up with. This is a hand wrapped, individually labeled solution for each truffle that shows the flavor of the chocolate that you're about to taste. This here is our two piece solution for weddings and corporate events. And on the inside it has a little fortune. This is our 12 piece custom assortment. It's got a nice brown look. The truffles will stack this way so you can see every flavor as they line up, like a bookshelf. And then you pull the small ribbon to pop the first one out of the box.
 

 Speaker1: [00:01:34] Take two of those boxes and combine them together to get your 24 piece gift. And as a special treat, we're adding to the lineup a roasted origin cacao bean that has a fantastic flavor, and we're very interested and very excited to share. We need 400 people to pre-order a box of chocolate in order to afford to print and cut all of these designs of packaging necessary 400 boxes gets us there, but if we can do 2000 boxes, then we'll also be able to hire intrigues first full time employee. That's an amazing feat for us. The thing about Kickstarter is that if we don't fund the minimum goal, then nobody gets the chocolate in this fancy new packaging. You can still come to our shop and buy the chocolate, but it's not going to be in these boxes until we're able to afford to print them. If you enjoy chocolate, now is a perfect time to pre-order and just imagine how excited you'll be in a few months when you receive the box in the mail and you get to tell that special friend that you're sharing it with all about how you supported a small business in their Kickstarter endeavor. Thank you very much. Sincerely from Carl and Aaron Bartel at Intrigue Chocolate Company. Have a nice day.",91.74,6,7,1.81,8,10
