Variable,Coef.,Std.Err.,t-Stat,P>|t|,Significance
const,17167.3725,23094.6711,0.7433,0.4589,
self-confidence,-8.8379,92.0938,-0.096,0.9237,
creativity,3709.0593,1610.8853,2.3025,0.0233,**
enthusiasm,-459.2056,472.9522,-0.9709,0.3338,
future-orientation,-3489.9095,3032.7574,-1.1507,0.2524,
trustworthiness,-1757.5261,1206.3163,-1.4569,0.1481,
proactive-personality,-1023.3961,2458.7685,-0.4162,0.6781,
num_founders,1141.7928,2498.5701,0.457,0.6486,
Priorsharedexperience,-4410.4175,8144.5592,-0.5415,0.5893,
Industryexperience,5538.6892,5584.141,0.9919,0.3235,
educationalqualification,5445.0595,2268.7908,2.4,0.0181,**
